Year,Growth,School,Gender,Value
2001,키,초등학교,남자,150
2001,키,초등학교,여자,150
2001,몸무게,초등학교,남자,44
2001,몸무게,초등학교,여자,42
2001,키,중학교,남자,169
2001,키,중학교,여자,159
2001,몸무게,중학교,남자,60
2001,몸무게,중학교,여자,52
2001,키,고등학교,남자,174
2001,키,고등학교,여자,160
2001,몸무게,고등학교,남자,69
2001,몸무게,고등학교,여자,56
2002,키,초등학교,남자,149
2002,키,초등학교,여자,151
2002,몸무게,초등학교,남자,46
2002,몸무게,초등학교,여자,44
2002,키,중학교,남자,169
2002,키,중학교,여자,160
2002,몸무게,중학교,남자,64
2002,몸무게,중학교,여자,54
2002,키,고등학교,남자,174
2002,키,고등학교,여자,162
2002,몸무게,고등학교,남자,68
2002,몸무게,고등학교,여자,56
2003,키,초등학교,남자,150
2003,키,초등학교,여자,151
2003,몸무게,초등학교,남자,45
2003,몸무게,초등학교,여자,44
2003,키,중학교,남자,169
2003,키,중학교,여자,159
2003,몸무게,중학교,남자,60
2003,몸무게,중학교,여자,53
2003,키,고등학교,남자,174
2003,키,고등학교,여자,161
2003,몸무게,고등학교,남자,68
2003,몸무게,고등학교,여자,55
2004,키,초등학교,남자,150
2004,키,초등학교,여자,150
2004,몸무게,초등학교,남자,45
2004,몸무게,초등학교,여자,43
2004,키,중학교,남자,169
2004,키,중학교,여자,160
2004,몸무게,중학교,남자,61
2004,몸무게,중학교,여자,53
2004,키,고등학교,남자,174
2004,키,고등학교,여자,162
2004,몸무게,고등학교,남자,70
2004,몸무게,고등학교,여자,55
2005,키,초등학교,남자,151
2005,키,초등학교,여자,151
2005,몸무게,초등학교,남자,46
2005,몸무게,초등학교,여자,44
2005,키,중학교,남자,169
2005,키,중학교,여자,159
2005,몸무게,중학교,남자,62
2005,몸무게,중학교,여자,52
2005,키,고등학교,남자,175
2005,키,고등학교,여자,161
2005,몸무게,고등학교,남자,69
2005,몸무게,고등학교,여자,56
2006,키,초등학교,남자,151
2006,키,초등학교,여자,152
2006,몸무게,초등학교,남자,45
2006,몸무게,초등학교,여자,44
2006,키,중학교,남자,169
2006,키,중학교,여자,160
2006,몸무게,중학교,남자,60
2006,몸무게,중학교,여자,52
2006,키,고등학교,남자,174
2006,키,고등학교,여자,161
2006,몸무게,고등학교,남자,68
2006,몸무게,고등학교,여자,56
2007,키,초등학교,남자,152
2007,키,초등학교,여자,152
2007,몸무게,초등학교,남자,48
2007,몸무게,초등학교,여자,45
2007,키,중학교,남자,170
2007,키,중학교,여자,160
2007,몸무게,중학교,남자,62
2007,몸무게,중학교,여자,53
2007,키,고등학교,남자,174
2007,키,고등학교,여자,161
2007,몸무게,고등학교,남자,70
2007,몸무게,고등학교,여자,56
2008,키,초등학교,남자,152
2008,키,초등학교,여자,151
2008,몸무게,초등학교,남자,48
2008,몸무게,초등학교,여자,44
2008,키,중학교,남자,170
2008,키,중학교,여자,160
2008,몸무게,중학교,남자,63
2008,몸무게,중학교,여자,53
2008,키,고등학교,남자,174
2008,키,고등학교,여자,161
2008,몸무게,고등학교,남자,69
2008,몸무게,고등학교,여자,55
2009,키,초등학교,남자,152
2009,키,초등학교,여자,151
2009,몸무게,초등학교,남자,47
2009,몸무게,초등학교,여자,44
2009,키,중학교,남자,170
2009,키,중학교,여자,160
2009,몸무게,중학교,남자,63
2009,몸무게,중학교,여자,53
2009,키,고등학교,남자,174
2009,키,고등학교,여자,162
2009,몸무게,고등학교,남자,69
2009,몸무게,고등학교,여자,56
2010,키,초등학교,남자,151
2010,키,초등학교,여자,151
2010,몸무게,초등학교,남자,46
2010,몸무게,초등학교,여자,45
2010,키,중학교,남자,170
2010,키,중학교,여자,160
2010,몸무게,중학교,남자,63
2010,몸무게,중학교,여자,53
2010,키,고등학교,남자,174
2010,키,고등학교,여자,161
2010,몸무게,고등학교,남자,69
2010,몸무게,고등학교,여자,56
2011,키,초등학교,남자,151
2011,키,초등학교,여자,152
2011,몸무게,초등학교,남자,47
2011,몸무게,초등학교,여자,45
2011,키,중학교,남자,170
2011,키,중학교,여자,160
2011,몸무게,중학교,남자,63
2011,몸무게,중학교,여자,54
2011,키,고등학교,남자,174
2011,키,고등학교,여자,161
2011,몸무게,고등학교,남자,69
2011,몸무게,고등학교,여자,56
2012,키,초등학교,남자,152
2012,키,초등학교,여자,151
2012,몸무게,초등학교,남자,47
2012,몸무게,초등학교,여자,43
2012,키,중학교,남자,169
2012,키,중학교,여자,159
2012,몸무게,중학교,남자,62
2012,몸무게,중학교,여자,54
2012,키,고등학교,남자,173
2012,키,고등학교,여자,161
2012,몸무게,고등학교,남자,68
2012,몸무게,고등학교,여자,56
2013,키,초등학교,남자,151
2013,키,초등학교,여자,151
2013,몸무게,초등학교,남자,46
2013,몸무게,초등학교,여자,44
2013,키,중학교,남자,170
2013,키,중학교,여자,160
2013,몸무게,중학교,남자,62
2013,몸무게,중학교,여자,54
2013,키,고등학교,남자,174
2013,키,고등학교,여자,161
2013,몸무게,고등학교,남자,70
2013,몸무게,고등학교,여자,57
2014,키,초등학교,남자,152
2014,키,초등학교,여자,152
2014,몸무게,초등학교,남자,47
2014,몸무게,초등학교,여자,44
2014,키,중학교,남자,170
2014,키,중학교,여자,160
2014,몸무게,중학교,남자,62
2014,몸무게,중학교,여자,54
2014,키,고등학교,남자,173
2014,키,고등학교,여자,161
2014,몸무게,고등학교,남자,68
2014,몸무게,고등학교,여자,56
2015,키,초등학교,남자,152
2015,키,초등학교,여자,153
2015,몸무게,초등학교,남자,48
2015,몸무게,초등학교,여자,46
2015,키,중학교,남자,170
2015,키,중학교,여자,160
2015,몸무게,중학교,남자,65
2015,몸무게,중학교,여자,54
2015,키,고등학교,남자,174
2015,키,고등학교,여자,162
2015,몸무게,고등학교,남자,70
2015,몸무게,고등학교,여자,58
2016,키,초등학교,남자,152
2016,키,초등학교,여자,153
2016,몸무게,초등학교,남자,47
2016,몸무게,초등학교,여자,46
2016,키,중학교,남자,170
2016,키,중학교,여자,160
2016,몸무게,중학교,남자,65
2016,몸무게,중학교,여자,54
2016,키,고등학교,남자,174
2016,키,고등학교,여자,161
2016,몸무게,고등학교,남자,70
2016,몸무게,고등학교,여자,58
2017,키,초등학교,남자,153
2017,키,초등학교,여자,153
2017,몸무게,초등학교,남자,48
2017,몸무게,초등학교,여자,47
2017,키,중학교,남자,171
2017,키,중학교,여자,160
2017,몸무게,중학교,남자,64
2017,몸무게,중학교,여자,54
2017,키,고등학교,남자,174
2017,키,고등학교,여자,161
2017,몸무게,고등학교,남자,72
2017,몸무게,고등학교,여자,58
2018,키,초등학교,남자,152
2018,키,초등학교,여자,153
2018,몸무게,초등학교,남자,49
2018,몸무게,초등학교,여자,46
2018,키,중학교,남자,171
2018,키,중학교,여자,161
2018,몸무게,중학교,남자,65
2018,몸무게,중학교,여자,55
2018,키,고등학교,남자,174
2018,키,고등학교,여자,161
2018,몸무게,고등학교,남자,71
2018,몸무게,고등학교,여자,58
2019,키,초등학교,남자,152
2019,키,초등학교,여자,152
2019,몸무게,초등학교,남자,48
2019,몸무게,초등학교,여자,46
2019,키,중학교,남자,171
2019,키,중학교,여자,161
2019,몸무게,중학교,남자,65
2019,몸무게,중학교,여자,55
2019,키,고등학교,남자,174
2019,키,고등학교,여자,161
2019,몸무게,고등학교,남자,73
2019,몸무게,고등학교,여자,57
2021,키,초등학교,남자,154
2021,키,초등학교,여자,153
2021,몸무게,초등학교,남자,53
2021,몸무게,초등학교,여자,47
2021,키,중학교,남자,172
2021,키,중학교,여자,161
2021,몸무게,중학교,남자,68
2021,몸무게,중학교,여자,55
2021,키,고등학교,남자,174
2021,키,고등학교,여자,162
2021,몸무게,고등학교,남자,72
2021,몸무게,고등학교,여자,59
2022,키,초등학교,남자,154
2022,키,초등학교,여자,154
2022,몸무게,초등학교,남자,52
2022,몸무게,초등학교,여자,47
2022,키,중학교,남자,171
2022,키,중학교,여자,161
2022,몸무게,중학교,남자,67
2022,몸무게,중학교,여자,55
2022,키,고등학교,남자,175
2022,키,고등학교,여자,162
2022,몸무게,고등학교,남자,73
2022,몸무게,고등학교,여자,58
